AThomas3,APeriklis1,AThomas1,APeriklis3,CGari2,CGari3,APeter1,ARIchard3,AHarry1,AHarry3,RMarcus3,RSarah3,RMarcus1,APeter3,RSid3,RNicholas3,RSid1,RKM3,RKM1,AJeremy1,AAdam3,AJeremy3,AJeremy2,ABenS3,CJayden3,ABenS1,CJayden1,RSteven3,RRobert3,RJohn3,CGari1,CGeorge1,RJakub1,CJonny2,CDaisy2,CKrish1,CJonny1,CDaisy3,RBen2,RBen3,AAdam1,CTristan3,CRoy1,CTristan1,CRoy3,AMichael1,RRobert2,RNicholas1,RJakub3,CJames1,CJoshua3,CKrish3,AAlex1,AMichael3,AAlex3,RJohn1,ADavid1,ADavid3,ARachel1,RJakub2,ARachel3,CPrakash1,CPrakash3,RSteven1,CGeorge3,ARichard2,RSkyler1,CNathan3,CNathan1,CTristan2,CJoshua1,RSarah2,RAshley2,RSkyler3,AThomas2,CJames3,RAshley3
93.9752,81.6518,101.314,79.2533,82.9283,83.8342,103.496,91.3323,75.8739,80.8067,93.9304,84.8637,75.438,99.4682,89.0236,85.3109,95.5019,94.1792,109.588,95.8949,89.0438,97.743,85.0943,85.7146,85.6405,84.1986,77.5854,83.9062,93.6216,79.2739,81.7836,95.296,67.7067,89.6531,101.652,83.2844,77.5957,84.0632,73.8565,79.6409,72.9684,84.4796,78.5284,74.398,90.5021,91.7295,93.7992,85.1374,80.6471,76.238,81.842,91.6111,78.2615,97.5372,82.0029,80.6736,79.1632,75.1087,97.1927,75.7778,95.0381,76.0665,90.1929,92.4648,99.0271,93.7275,88.1013,61.8001,98.105,71.2131,99.7138,87.1421,-73.0814,93.1118,95.8895,97.5067,82.8253
96.3711,77.0937,98.2828,76.8868,83.1749,82.0937,104.739,90.8759,76.5087,82.332,94.0229,84.4998,78.5023,100.742,88.6716,75.9907,97.1395,93.2883,77.4697,85.8857,87.7015,106.209,91.5075,88.7545,86.3623,86.1967,77.778,83.8768,90.6293,83.7772,80.3146,92.5009,69.758,95.5217,98.3707,86.5564,79.0685,84.6835,72.1305,79.9548,71.2594,83.4343,77.0889,67.0549,94.0156,90.1437,89.2435,88.0947,80.1122,79.7483,88.5291,89.7138,79.3577,96.0675,81.936,80.1211,75.3498,81.1475,96.4931,72.9241,90.1276,97.5596,78.5829,88.2408,94.6377,93.1973,84.3589,62.3682,104.562,72.1668,99.2817,87.6653,-67.0848,92.1752,94.3231,100.526,91.2542
98.8279,87.5104,96.0041,75.8017,83.8593,85.8194,103.195,90.4626,77.2983,88.146,93.1181,84.6364,80.4217,102.019,88.7841,84.9569,95.6152,93.6644,78.4207,92.3763,88.8288,109.193,90.0156,85.6924,86.2936,83.8129,78.8824,82.0271,90.8082,87.2641,79.723,86.8272,74.3459,87.8015,104.05,90.0084,81.477,83.0654,71.1262,79.2898,72.639,80.6052,75.4526,75.8306,93.1943,85.6203,91.3588,85.1671,77.1294,79.85,82.2194,92.7261,78.6903,94.5454,83.6745,78.2411,83.0292,79.7446,92.0536,80.4133,93.1664,100.748,80.3967,90.7393,95.7079,92.8175,84.1109,59.6343,79.8075,77.4919,76.3053,86.695,-66.2812,92.31,96.9517,93.7292,87.9108
96.7665,89.2678,96.2719,75.7407,82.6467,83.5777,102.96,87.3047,78.3755,68.9149,91.5988,84.2314,77.9814,101.904,90.4919,78.0449,95.6162,92.7145,79.3949,94.2415,90.1414,107.85,85.5675,86.2412,85.7066,83.7453,79.2826,82.087,88.6717,84.2891,78.4174,85.2731,73.9765,88.9362,104.972,87.5612,81.3548,82.517,76.8093,81.349,73.1678,83.4499,79.2657,74.7111,92.4311,88.1085,95.584,88.9458,79.4971,73.4957,91.4399,92.0603,78.8551,99.2532,82.0439,81.4102,73.0879,79.9858,95.786,76.6447,95.7203,100.607,82.2023,87.7444,95.4945,92.8671,89.0392,69.8062,91.9852,72.0697,76.436,82.4029,68.2011,92.2023,98.5403,101.438,88.563
98.9999,87.8141,92.5352,78.4726,82.3045,84.79,102.514,87.9069,59.5629,74.3172,90.6774,85.9138,82.0973,101.567,-44.7095,81.2912,93.4029,93.2233,77.418,86.581,89.4452,109.343,92.652,87.5249,91.9093,84.0167,79.0203,83.1077,93.0638,84.3213,80.6197,76.643,71.6874,92.3043,100.758,88.4191,81.2206,84.5374,77.8582,79.0387,73.6982,86.4144,76.4259,73.6733,92.2105,90.2557,94.9467,90.0795,79.2318,84.4367,89.4915,96.9287,80.2873,99.106,82.4149,76.6555,68.1826,79.3859,95.3347,79.1389,97.5916,92.947,91.967,91.7414,96.1988,87.444,86.0104,70.265,68.943,75.8197,86.6453,81.7665,62.9718,88.5431,98.4336,100.517,94.0225
94.5767,84.1928,94.6349,75.0117,83.3223,83.0229,100.871,88.5798,67.0088,74.7082,91.4761,82.0454,76.8512,86.0163,97.5358,83.956,95.7753,92.6297,79.6999,89.4039,84.6228,108.061,83.656,88.2333,95.7733,83.3535,80.4612,85.2,93.0377,82.9155,80.0936,102.82,71.036,88.1334,103.962,79.5187,78.1674,86.6483,73.1134,79.622,70.8195,80.292,76.1681,70.7014,88.3676,82.6634,91.7007,87.9884,79.5499,79.8131,84.733,53.3205,77.8207,100.384,83.9958,78.5671,78.2673,84.8601,90.6316,80.9309,97.0622,96.0316,50.0052,88.0939,110.606,96.1318,91.6593,84.6951,69.0903,72.7558,87.1646,83.3421,72.135,90.7163,93.7825,97.5503,87.2196
98.5625,88.3448,94.6661,79.37,82.6615,83.2905,98.4839,90.5753,70.3696,71.548,91.4331,85.56,74.1905,92.9933,98.0991,74.5946,95.7979,92.5809,81.9188,82.2543,85.691,110.965,82.3565,88.5821,94.8577,83.716,80.7912,86.2555,90.0602,83.6689,78.784,99.7677,69.1642,89.7978,100.11,86.9697,79.9749,82.8892,71.4146,74.2931,70.313,78.2993,78.0418,68.9115,91.3915,89.0502,91.9091,86.7244,79.4949,77.6271,80.5999,49.6938,76.4468,83.8081,82.0063,74.9173,77.4964,82.2028,97.7,80.3381,97.203,101.668,70.8343,89.6477,98.9284,94.3726,86.2345,91.1771,73.8864,67.9263,85.4231,86.5394,74.1119,92.0792,95.2231,97.0192,86.1522
97.6406,82.6874,99.9866,79.5591,81.7964,82.8072,97.2245,90.4404,71.2127,72.5754,91.7836,81.6529,77.7612,90.7556,97.6374,74.2564,95.2642,91.4642,84.0243,92.4936,84.7555,107.405,92.8608,93.2795,86.5594,87.478,83.1585,83.7301,88.6244,84.0499,82.375,109.306,71.3392,89.7746,98.2158,91.8165,78.9656,86.8382,75.4164,78.2488,70.7347,82.0955,76.9583,71.7717,89.6327,89.3608,87.7358,88.0148,79.4505,82.2167,87.5052,56.3792,78.6087,99.2564,84.0426,74.1856,82.9564,81.2229,99.0586,83.0923,98.2076,96.7609,98.4611,88.9682,104.165,92.3164,84.1033,90.0101,80.4758,68.6419,86.1191,85.3089,68.0792,91.1876,96.0344,91.0713,89.2956
97.0985,86.3673,96.5784,79.1311,81.8366,84.1809,108.191,91.3911,71.4958,74.9215,90.4454,84.5121,78.5238,90.9511,96.5849,73.6246,98.9847,92.8902,83.872,96.0187,87.2505,109.409,88.8634,93.0932,87.2589,85.9086,80.6471,83.356,,81.0175,79.4514,100.611,68.0301,88.8275,104.517,79.1157,78.592,86.0997,77.5017,75.1341,70.5561,83.2261,76.3626,67.2205,90.735,94.8877,90.2655,88.9557,76.421,86.1062,104.346,50.4929,76.8401,99.0628,57.497,76.4352,85.9095,82.643,98.0154,79.6718,96.8691,101.186,96.3974,89.1459,99.5925,95.1499,90.891,91.1554,74.6185,69.9197,76.1536,82.713,69.8788,92.3571,98.8053,100.865,74.4976
99.5839,88.3289,97.2131,77.8537,80.683,81.5122,102.466,92.5132,71.9002,86.8629,90.6575,83.4685,77.2639,92.0766,97.9363,77.2702,95.5819,93.6049,81.3557,90.2808,80.4852,106.684,87.5434,91.3699,86.2318,85.151,80.2493,83.9525,,89.6214,81.4391,96.9633,69.4755,90.2046,99.559,90.5775,82.4767,84.4274,70.8855,79.5801,71.3862,83.6263,77.7226,69.3523,90.5417,87.6563,90.6455,89.4916,77.4781,83.9296,99.4836,72.7974,78.5164,96.1855,60.8514,73.8294,84.0468,80.6248,94.6919,75.5703,95.0645,102.993,91.0662,89.0371,103.539,95.3295,84.7161,86.4087,68.379,74.6853,93.165,81.2631,67.3561,93.0098,92.4887,95.0648,94.0279
96.3902,85.8615,95.9698,76.1851,80.1494,85.1904,103.069,91.1623,74.1438,85.3911,93.1823,82.035,77.4664,93.1637,99.3473,56.4463,96.1221,93.4842,93.0308,91.9782,83.079,108.172,93.9272,91.9271,87.2871,84.8915,81.637,83.1156,,85.0069,77.6438,99.6605,70.6947,90.0124,105.67,89.5329,79.5423,84.2513,78.0735,80.827,70.1068,74.5143,78.6507,70.4,92.7292,88.6524,92.7894,88.7049,81.9479,83.2187,75.6338,75.1832,77.2936,95.3671,83.5576,73.8062,94.3425,80.8133,95.6581,76.0987,97.7473,94.8727,81.3535,88.7658,99.6636,92.2524,89.53,,69.4109,74.6123,88.4001,80.1946,72.1283,92.2566,96.0099,101.899,83.2848
97.2869,83.747,95.2655,78.0487,81.2258,81.3589,94.5387,92.0483,75.2046,90.2798,92.2146,81.6566,77.8014,90.2084,96.7286,54.278,94.5573,91.7383,93.0308,94.0851,88.3406,108.704,87.7296,90.1167,82.7339,86.5963,84.5767,83.867,,83.471,80.8498,97.4214,70.0432,90.9425,99.6166,84.903,75.7016,84.8976,78.1638,71.6702,71.9015,85.4643,80.118,72.4572,92.0924,90.5529,92.43,88.0761,79.902,81.6522,93.621,101.938,75.0875,96.9645,80.3858,76.0585,90.6376,76.6117,94.4254,80.2396,97.8019,96.8145,91.982,85.2843,98.9534,96.0468,85.9114,,66.3362,74.6523,93.1968,83.6535,73.7618,91.1803,96.4575,100.011,87.3764
97.4126,79.475,97.0021,78.3241,79.5148,87.4034,109.601,90.7809,72.8707,89.6047,90.983,84.9155,84.1295,96.5447,98.5382,58.9134,95.7646,90.9707,93.0308,90.8162,86.5504,108.3,92.7038,92.9572,85.2534,84.0329,80.1499,83.1048,,82.1461,80.4409,97.4115,71.3252,93.2081,103.356,89.6455,78.4511,85.0528,80.8126,76.9312,71.5091,83.8823,78.6936,72.5289,94.0236,89.4929,91.1467,88.1289,80.7342,81.741,80.5885,92.6228,74.1957,92.831,81.8968,76.4599,89.5831,85.5583,92.8281,80.8286,93.2411,86.4938,96.0157,83.1549,105.289,91.7111,85.5542,,52.5835,71.7329,90.0721,83.699,67.6569,92.7313,95.5469,96.3775,85.1939
96.0877,76.3228,99.905,79.8902,81.2037,85.2661,103.243,91.5221,73.2385,87.5947,91.5794,84.2073,85.9724,92.1472,97.6957,62.4523,97.8276,93.3624,93.0308,88.9797,84.7034,106.574,87.1862,90.8701,87.9614,85.3924,80.6472,81.3689,,83.8086,76.5363,92.8679,71.9236,90.9018,104.474,66.857,78.2114,85.0378,77.1289,79.0307,72.0792,84.9183,77.6371,68.6412,91.0778,86.1123,91.8049,88.4902,81.2285,81.6045,92.0011,94.2993,73.1697,95.2627,76.1137,72.3838,88.6238,79.4653,95.0509,84.1316,96.0206,92.1844,97.1728,89.9184,,89.5528,85.1384,,108.7,70.3138,89.3371,84.0729,66.7076,90.3577,94.5508,98.5931,81.0397
