AThomas3,APeriklis1,AThomas1,APeriklis3,CGari2,CGari3,APeter1,ARIchard3,AHarry1,AHarry3,RMarcus3,RSarah3,RMarcus1,APeter3,RSid3,RNicholas3,RSid1,RKM3,RKM1,AJeremy1,AAdam3,AJeremy3,AJeremy2,ABenS3,CJayden3,ABenS1,CJayden1,RSteven3,RRobert3,RJohn3,CGari1,CGeorge1,RJakub1,CJonny2,CDaisy2,CKrish1,CJonny1,CDaisy3,RBen2,RBen3,AAdam1,CTristan3,CRoy1,CTristan1,CRoy3,AMichael1,RRobert2,RNicholas1,RJakub3,CJames1,CJoshua3,CKrish3,AAlex1,AMichael3,AAlex3,RJohn1,ADavid1,ADavid3,ARachel1,RJakub2,ARachel3,CPrakash1,CPrakash3,RSteven1,CGeorge3,ARichard2,RSkyler1,CNathan3,CNathan1,CTristan2,CJoshua1,RSarah2,RAshley2,RSkyler3,AThomas2,CJames3,RAshley3
0.87280142,0.78001994,0.56837225,0.9394908,0.41440481,0.92893147,0.87287211,0.76130545,0.84239864,0.90567207,0.6546225,0.78758633,0.55969542,0.71433389,0.86541653,0.93285561,0.87569904,0.85522199,0.6267401,0.80963874,0.89669776,0.63232851,0.7471289,0.90881532,0.68671256,0.7870236,0.93354839,,0.0,0.72546667,0.79175496,0.6323722,0.68602532,0.90683645,0.8328622,0.61,0.80872762,0.65345442,0.75920212,0.52275968,0.0,0.44853693,0.36772487,0.85995239,0.77143246,0.61,,0.83489174,0.0,0.59122127,0.80060571,0.82787055,0.73883677,0.87856334,0.72742277,0.80267578,0.56381959,0.74404633,0.8091073,0.87439847,0.57306939,0.72273725,0.7684657,0.87846172,,0.76369166,0.61156923,,0.865502,0.6988374,0.69620508,0.71767771,0.8065356,0.68240541,0.0,0.84146881,0.90350878
0.93307096,0.71308154,0.75610155,0.0,0.87749481,0.0,0.74735731,0.66960198,0.95815086,0.61,0.61,0.66714656,,0.61,0.76802009,0.88039488,0.89859176,0.88886076,0.56648099,0.78721189,0.74091035,0.81001085,0.72694284,0.93414432,0.55085093,0.69331867,0.51,,,0.77276278,0.87567598,,0.56602579,0.93926591,0.0,,0.0,0.59313089,0.9166078,0.75586426,0.86180127,0.0,0.8329643,0.65769374,0.7290265,0.70727646,,0.82987994,0.0,0.61,0.61,0.74168664,0.54302007,0.6786207,0.94598716,0.73158896,0.61,0.73279005,0.83198094,0.80251902,0.83728123,,0.68525779,0.84489965,,0.75608444,0.94546527,,0.83818555,0.63053066,0.61,0.97066355,0.65915734,0.85932833,0.6,0.88376456,0.9063412
0.79141563,0.88710892,0.77727318,0.78360724,0.0,0.86433023,0.76668745,0.71939516,0.68694609,0.74080443,,0.868765,,0.68764418,0.61,0.56762409,0.88093835,0.63379484,0.48135149,0.72519392,0.67401874,0.80072159,0.61,0.85261309,0.85533315,0.77074927,0.51,,,0.0,0.79604542,,0.0,0.81674367,0.0,,0.73337972,0.83749425,0.63173211,0.86667955,0.81355739,0.86454678,0.61626059,0.0,0.61,0.77924335,,0.50475657,0.82510543,0.75214821,0.76400763,0.9354167,0.81243098,0.82375318,0.46642554,0.93988037,0.57485104,0.75956678,0.59637433,0.87099117,0.61,,0.79057026,0.9393422,,0.7817927,0.60659552,,0.78223729,0.73085749,0.83787602,0.73627579,0.85393947,0.75325,0.74270928,0.83590895,0.73578548
0.85232615,0.80199289,0.80648923,0.7468031,0.0,0.84779,0.63911796,0.80867928,0.97182071,0.91760057,,0.94131428,,0.92868447,0.63243473,0.7176466,0.88729364,0.80906129,0.83824408,0.78419107,0.80014837,0.91263771,0.82526004,0.67383528,0.61,0.74499464,0.51,,,0.66476279,0.65445095,,0.95692778,0.83447391,0.63031763,,0.86513335,0.54859483,0.79971939,0.78407705,0.0,0.90983891,0.49969575,0.91384155,0.78701061,0.78487027,,0.33401421,0.77048057,0.77114916,0.76470268,0.61,0.61,0.81101108,0.77402288,0.97421879,0.62540656,0.79944634,0.36341181,0.88426447,0.87424815,,0.55661029,0.80374646,,0.88024265,0.0,,0.61,0.83992577,0.51116002,0.0,0.78148025,0.84538555,0.6,0.61,0.61511552
0.91183203,0.88337409,0.58627766,0.84661555,0.9294827,0.89237636,0.73044074,0.74949485,0.88089883,0.97300076,,0.85369289,,0.8704316,0.6820212,0.83357143,0.75517434,0.75501233,0.0,0.78839231,0.66978019,0.91009009,0.85092014,0.76752317,0.71179068,0.77001691,0.93551481,,,0.83255917,0.0,,0.0,0.0,0.7549004,,0.85860521,0.81721205,0.57742637,0.64171815,0.0,0.97516018,0.75781566,0.95840895,0.88534486,0.61639762,,0.0,0.58144498,0.72998255,0.77345431,,0.70754027,0.61,0.76149243,0.0,0.61,0.69416046,0.6274038,0.0,0.69519967,,0.8745293,0.72881812,,0.88393599,0.95793122,,0.41828549,0.77287769,0.78015429,0.7265746,0.84744626,0.84605694,0.6,0.7242766,0.67520374
0.69487602,0.85407966,0.84517884,0.0,0.0,0.0,0.77014124,0.94168109,0.61,0.68890381,,0.0,,0.50565523,0.81286597,0.83772105,0.84552342,0.70375413,0.0,0.62617141,0.0,0.91042227,0.61,0.61,0.8166889,0.65045553,0.75365633,,,0.8310228,0.9101193,,0.0,0.81408048,0.79970556,,0.0,0.87464839,,0.72097164,0.87653118,0.0,0.84298909,0.85728168,0.71160305,0.77005404,,0.62185001,0.83052909,0.85891402,0.73968345,,0.8020584,0.86584729,0.86154592,0.76990181,0.74368763,0.68675631,0.8000893,0.774014,0.86437988,,0.69145513,0.75379372,,0.70999235,0.0,,,0.0,0.61,0.56870669,0.80291784,0.82086819,0.790883,0.95383114,0.0
0.80953658,0.91158497,0.82686418,0.76988095,0.0,0.0,0.68971056,0.78008813,0.88706636,0.61,,0.91141236,,0.84183794,0.56751609,0.91043288,0.0,0.72540605,0.0,0.85204291,0.80621201,0.73438424,0.61,0.85007328,0.74313504,0.61,0.67271924,,,0.92837125,0.93459344,,0.6938287,0.0,0.85954052,,0.74347961,0.61,,0.96214581,0.89389348,0.79764885,0.75061613,0.75058651,0.61,0.79893368,,0.0,0.94137537,0.60562956,0.80117106,,0.86055297,0.54271913,0.61,0.63846356,0.7815994,0.61,0.78913713,0.0,0.85796416,,0.61,0.87707567,,0.75521851,0.0,,,0.84055525,0.5789457,0.82494169,0.0,0.66357172,0.58773345,0.51483929,0.8669939
0.90011281,0.88501841,0.6,0.0,0.91374433,0.88809901,0.8098402,0.78089452,0.57630271,0.7377609,,0.87170237,,0.94897282,0.66228408,0.77460229,0.75313073,0.82319921,0.0,0.61,0.0,0.63351125,0.61,0.61,0.61,0.83756948,0.78965795,,,0.93480808,0.89636546,,0.93356758,0.0,0.91502458,,0.69550133,0.57729226,,0.83945054,0.77608877,0.66273302,0.92687476,0.68035728,0.7758624,0.97516024,,0.66802323,0.87761629,0.72499985,0.62620854,,0.82033139,,0.61,0.50751066,0.88892788,0.97516018,0.72954023,0.8692342,0.88820839,,0.75596708,0.73589218,,0.49554634,0.0,,,0.8856945,0.9362976,0.80903429,0.0,0.86419159,0.47952494,0.60708761,0.0
0.7750653,0.46640524,0.76492769,0.72154236,0.0,0.95792061,0.61,0.8173399,0.75122613,0.93754029,,0.91168809,,0.73857343,0.8681429,0.94356549,0.94457459,0.65645015,0.84951067,0.74579591,0.83038628,0.61,0.76187825,0.69166702,,0.61,0.51,,,0.89541465,0.88535899,,0.66576695,0.75354958,0.75741094,,0.69172585,0.84492606,,0.97312021,0.95838183,0.74243236,0.61,0.63969511,0.70913339,0.89071453,,0.38886601,0.59393352,0.83506429,0.68808913,,0.61,,0.6858657,0.0,,0.52808326,0.6249547,0.87846267,0.71697277,,0.0,0.82603675,,0.75827789,0.0,,,0.70795852,,0.73513097,0.19321285,0.94322491,0.94190776,0.69155139,0.0
0.77766782,0.0,0.72483456,0.0,0.84591299,0.75741363,0.83910596,,0.89948583,0.56989038,,0.0,,0.69517177,0.61,0.69454336,0.7132405,0.83963913,0.82129592,0.87824571,0.88089174,0.79267359,0.88152808,0.69378531,,,0.51,,,0.73847699,0.0,,0.9094522,0.0,0.82272309,,0.85656077,0.71865702,,,0.8066622,0.92951983,0.61,0.72762412,0.9751603,,,0.69932598,0.87628067,0.8675437,0.90350878,,0.8791582,,0.82170665,0.90350878,,0.72556353,,0.93189585,0.61,,,0.97495127,,0.7140258,,,,0.79464209,,0.63351446,,0.80154812,0.7788958,0.83803076,0.8866874
